employee_id,course_id,enrollment_date,completion_status,rating,time_spent_hours
EMP00012,CRS0115,2026-07-04,Completed,4.7,28.6
EMP00012,CRS0088,2026-10-06,Completed,4.3,3.0
EMP00012,CRS0026,2025-06-28,In Progress,,35.4
EMP00013,CRS0070,2024-06-12,Completed,2.3,15.4
EMP00013,CRS0016,2024-02-19,Completed,2.3,10.0
EMP00013,CRS0049,2024-09-28,Completed,2.9,27.3
EMP00014,CRS0125,2025-03-05,Completed,2.4,28.3
EMP00014,CRS0119,2024-12-27,Dropped,,21.1
EMP00014,CRS0036,2026-02-19,Completed,4.4,14.2
EMP00014,CRS0067,2026-08-16,Completed,4.8,2.3
EMP00014,CRS0120,2026-04-07,Completed,3.5,16.5
EMP00015,CRS0044,2024-06-15,Completed,4.6,37.8
EMP00015,CRS0111,2025-05-02,In Progress,,27.3
EMP00015,CRS0091,2026-06-24,In Progress,,14.7
EMP00016,CRS0136,2025-03-01,In Progress,,20.2
EMP00016,CRS0050,2025-03-22,In Progress,,12.1
EMP00016,CRS0139,2024-11-28,Completed,2.5,13.6
EMP00016,CRS0044,2025-03-18,Completed,3.1,31.9
EMP00016,CRS0083,2024-09-06,Completed,2.6,15.3
EMP00016,CRS0112,2025-03-25,Completed,4.4,37.5
EMP00017,CRS0115,2024-02-28,Completed,2.8,8.9
EMP00017,CRS0045,2024-05-03,Dropped,,32.1
EMP00017,CRS0106,2024-10-23,Completed,3.7,24.6
EMP00017,CRS0049,2026-08-02,In Progress,,17.0
EMP00018,CRS0105,2024-10-12,Completed,4.5,15.0
EMP00018,CRS0103,2025-11-02,Completed,2.6,20.1
EMP00018,CRS0001,2026-02-19,Completed,2.7,4.8
EMP00019,CRS0063,2025-02-03,Completed,2.5,8.1
EMP00019,CRS0095,2024-12-02,Dropped,,10.4
EMP00019,CRS0052,2025-08-22,Completed,2.1,22.1
EMP00020,CRS0083,2025-01-16,Completed,2.3,28.0
EMP00020,CRS0103,2025-05-07,Dropped,,35.1
EMP00021,CRS0091,2025-11-05,Completed,2.8,5.4
EMP00021,CRS0003,2024-04-26,In Progress,,27.6
EMP00021,CRS0004,2026-05-10,Completed,2.0,37.6
EMP00021,CRS0084,2025-03-07,In Progress,,38.7
EMP00021,CRS0059,2025-05-04,In Progress,,16.8
EMP00021,CRS0119,2024-08-16,Dropped,,9.5
EMP00022,CRS0134,2026-05-06,Completed,4.1,32.0
EMP00022,CRS0093,2025-02-16,Completed,2.1,12.5
EMP00022,CRS0123,2025-01-03,Completed,3.0,21.4
EMP00022,CRS0108,2026-10-07,In Progress,,20.8
EMP00022,CRS0009,2024-05-18,Completed,4.1,3.6
EMP00023,CRS0114,2025-03-08,In Progress,,5.0
EMP00023,CRS0079,2024-09-27,Completed,3.3,14.7
EMP00023,CRS0069,2024-03-12,Completed,2.8,23.7
EMP00024,CRS0138,2026-10-02,In Progress,,7.2
EMP00024,CRS0095,2025-12-23,Completed,3.4,9.5
EMP00024,CRS0058,2024-10-11,Completed,4.0,39.2
EMP00024,CRS0097,2025-08-24,Completed,4.6,25.8
EMP00025,CRS0045,2024-10-25,Completed,4.3,24.9
EMP00025,CRS0024,2025-01-10,Completed,3.6,12.0
EMP00025,CRS0101,2024-05-08,Completed,3.9,17.6
EMP00025,CRS0072,2025-04-15,Completed,4.9,21.9
EMP00026,CRS0102,2025-07-09,Completed,4.3,34.0
EMP00026,CRS0097,2024-11-13,In Progress,,34.3
EMP00027,CRS0104,2024-09-12,In Progress,,35.5
EMP00027,CRS0018,2026-01-02,In Progress,,30.4
EMP00027,CRS0095,2026-02-01,Completed,3.4,28.4
EMP00028,CRS0079,2025-01-11,Completed,2.7,17.7
EMP00028,CRS0086,2024-08-09,In Progress,,10.7
EMP00028,CRS0011,2024-04-01,Dropped,,24.5
EMP00028,CRS0117,2024-07-16,Completed,3.9,27.3
EMP00028,CRS0099,2024-09-05,In Progress,,35.7
EMP00028,CRS0006,2025-10-21,Completed,2.6,17.6
EMP00029,CRS0021,2026-06-22,Completed,3.5,14.5
EMP00029,CRS0005,2024-10-14,Completed,4.5,16.7
EMP00029,CRS0132,2026-12-20,Completed,4.0,8.4
EMP00029,CRS0116,2025-07-01,In Progress,,21.1
EMP00030,CRS0083,2025-11-28,Completed,2.4,19.3
EMP00030,CRS0006,2026-07-22,Completed,4.3,31.1
EMP00030,CRS0078,2025-04-06,In Progress,,3.1
EMP00030,CRS0036,2025-03-19,In Progress,,31.0
EMP00031,CRS0122,2024-09-27,Dropped,,24.0
EMP00031,CRS0050,2026-03-16,Completed,4.0,23.5
EMP00032,CRS0040,2024-04-15,In Progress,,38.7
EMP00032,CRS0108,2026-07-27,Completed,4.2,37.0
EMP00033,CRS0068,2026-11-22,Completed,2.6,28.4
EMP00033,CRS0044,2024-06-10,Completed,4.7,27.6
EMP00033,CRS0104,2026-01-04,In Progress,,26.3
EMP00033,CRS0075,2025-08-01,Completed,4.3,25.2
EMP00034,CRS0046,2026-03-09,Completed,3.1,39.9
EMP00034,CRS0017,2025-11-26,Completed,4.7,30.2
EMP00034,CRS0088,2026-11-27,Completed,2.2,7.6
EMP00034,CRS0138,2026-02-14,In Progress,,19.7
EMP00034,CRS0113,2026-07-21,Completed,4.6,2.2
EMP00035,CRS0057,2024-02-13,Completed,4.3,36.3
EMP00035,CRS0030,2026-12-22,In Progress,,11.6
EMP00035,CRS0088,2025-01-07,Completed,4.5,21.4
EMP00035,CRS0136,2024-08-02,Dropped,,31.4
EMP00036,CRS0040,2026-11-28,Completed,3.5,22.5
EMP00036,CRS0106,2024-07-05,Dropped,,4.5
EMP00036,CRS0077,2024-11-28,Completed,3.8,17.8
EMP00036,CRS0011,2026-06-25,In Progress,,33.7
EMP00036,CRS0115,2024-08-05,Dropped,,27.1
EMP00036,CRS0013,2026-03-21,Completed,4.0,38.7
EMP00037,CRS0071,2026-10-13,Completed,4.8,28.0
EMP00037,CRS0023,2025-07-13,In Progress,,8.5
EMP00037,CRS0020,2024-04-20,Completed,3.7,22.2
EMP00037,CRS0108,2024-07-07,Completed,2.2,30.8
EMP00037,CRS0139,2025-05-07,In Progress,,35.5
EMP00038,CRS0098,2025-01-03,Dropped,,27.9
EMP00038,CRS0048,2026-11-05,Completed,4.2,13.2
EMP00038,CRS0065,2025-10-01,Completed,4.0,16.2
EMP00038,CRS0086,2024-08-12,Completed,4.8,7.9
EMP00039,CRS0003,2026-01-08,Completed,3.2,33.0
EMP00039,CRS0047,2024-05-08,Completed,3.9,19.1
EMP00039,CRS0069,2026-05-02,Completed,2.4,31.1
EMP00040,CRS0091,2025-06-25,Completed,2.2,22.2
EMP00040,CRS0057,2024-07-27,Dropped,,27.8
EMP00040,CRS0109,2026-09-05,In Progress,,33.9
EMP00040,CRS0066,2025-04-17,Completed,4.6,23.7
EMP00041,CRS0071,2024-07-02,Dropped,,38.5
EMP00041,CRS0103,2026-09-14,Completed,4.4,25.0
EMP00041,CRS0106,2025-10-27,Completed,2.2,16.2
EMP00041,CRS0039,2024-03-24,Completed,4.7,35.7
EMP00042,CRS0066,2025-10-20,Completed,3.2,8.3
EMP00042,CRS0048,2025-10-19,Completed,3.2,17.1
EMP00043,CRS0046,2026-09-08,Completed,4.2,32.1
EMP00043,CRS0049,2025-09-17,Completed,4.3,29.9
EMP00043,CRS0089,2025-07-01,Completed,3.5,25.2
EMP00043,CRS0097,2024-09-28,Completed,2.7,22.0
EMP00043,CRS0040,2024-02-11,In Progress,,36.0
EMP00044,CRS0136,2024-02-10,Completed,2.4,2.4
EMP00044,CRS0049,2025-07-05,Completed,4.0,27.0
EMP00044,CRS0022,2024-05-24,In Progress,,29.5
EMP00045,CRS0009,2026-08-11,Completed,2.4,9.8
EMP00045,CRS0073,2024-01-19,Completed,3.9,22.7
EMP00045,CRS0019,2026-07-10,Completed,3.3,14.4
EMP00046,CRS0035,2024-09-06,Completed,4.9,26.7
EMP00046,CRS0076,2025-07-14,Completed,4.5,3.2
EMP00046,CRS0003,2025-09-20,Completed,4.4,25.7
EMP00047,CRS0033,2026-06-08,Completed,4.6,5.2
EMP00047,CRS0140,2025-02-17,Completed,2.0,25.4
EMP00047,CRS0009,2026-12-21,Completed,3.0,20.3
EMP00047,CRS0095,2024-05-08,Dropped,,13.0
EMP00047,CRS0103,2025-02-23,In Progress,,13.7
EMP00048,CRS0082,2026-06-28,In Progress,,20.3
EMP00048,CRS0058,2025-04-21,Completed,2.0,20.9
EMP00048,CRS0019,2024-04-14,Completed,3.5,38.9
EMP00049,CRS0046,2026-10-24,Completed,3.0,25.6
EMP00049,CRS0012,2024-08-02,Completed,2.6,20.4
EMP00050,CRS0077,2025-05-18,In Progress,,13.8
EMP00050,CRS0048,2024-08-24,Completed,4.3,20.7
EMP00050,CRS0076,2024-04-11,Dropped,,17.8
EMP00051,CRS0002,2024-08-21,Completed,2.2,30.8
EMP00051,CRS0121,2025-02-16,Completed,4.8,23.2
EMP00052,CRS0043,2025-01-20,Completed,3.1,9.3
EMP00052,CRS0138,2025-09-01,In Progress,,23.2
EMP00052,CRS0089,2026-02-11,Completed,3.6,5.0
EMP00053,CRS0067,2026-08-27,Completed,2.4,17.1
EMP00053,CRS0070,2024-01-23,Completed,2.2,2.4
EMP00053,CRS0101,2025-01-25,Completed,4.7,6.5
EMP00053,CRS0094,2024-03-03,Completed,4.8,29.1
EMP00053,CRS0064,2024-10-13,In Progress,,2.9
EMP00054,CRS0042,2025-11-09,Dropped,,22.7
EMP00054,CRS0011,2025-09-18,Completed,4.1,2.8
EMP00054,CRS0062,2026-06-03,Completed,3.2,8.0
EMP00054,CRS0132,2026-07-23,Dropped,,16.5
EMP00054,CRS0096,2025-12-14,Completed,4.6,29.5
EMP00055,CRS0052,2024-09-17,Completed,3.4,12.0
EMP00055,CRS0015,2025-08-02,Dropped,,31.0
EMP00055,CRS0049,2024-10-06,Completed,4.9,23.2
EMP00056,CRS0031,2025-04-03,Completed,4.2,28.3
EMP00056,CRS0024,2025-07-04,Completed,4.0,36.6
EMP00057,CRS0086,2024-07-08,Completed,3.0,3.8
EMP00057,CRS0138,2025-01-10,Completed,2.4,24.6
EMP00058,CRS0041,2025-05-12,Completed,3.4,2.3
EMP00058,CRS0038,2026-12-26,In Progress,,13.3
EMP00058,CRS0005,2024-11-07,Completed,3.6,35.9
EMP00058,CRS0081,2026-02-27,Completed,4.3,13.0
EMP00058,CRS0058,2025-07-26,Completed,3.0,11.3
EMP00059,CRS0100,2024-06-08,Completed,4.3,16.3
EMP00059,CRS0105,2025-02-24,Dropped,,7.2
EMP00059,CRS0034,2026-08-01,Completed,2.0,16.2
EMP00059,CRS0047,2025-01-13,Completed,3.2,17.2
EMP00059,CRS0064,2024-06-02,Completed,3.2,11.1
EMP00060,CRS0136,2024-01-28,Completed,2.0,22.7
EMP00060,CRS0023,2024-01-26,Completed,2.1,6.5
EMP00060,CRS0110,2024-06-05,In Progress,,26.3
EMP00061,CRS0068,2025-10-15,Completed,2.6,37.8
EMP00061,CRS0087,2024-10-21,In Progress,,15.9
EMP00062,CRS0101,2025-06-27,Completed,3.6,3.6
EMP00062,CRS0011,2026-06-09,Dropped,,37.5
EMP00062,CRS0013,2026-03-02,In Progress,,39.3
EMP00063,CRS0074,2026-02-23,Completed,2.4,2.6
EMP00063,CRS0073,2026-04-10,Completed,3.2,25.9
EMP00063,CRS0085,2025-07-13,In Progress,,34.1
EMP00063,CRS0058,2025-03-04,Completed,2.5,32.2
EMP00064,CRS0127,2025-03-10,Completed,4.9,17.5
EMP00064,CRS0014,2025-11-05,Completed,2.1,2.4
EMP00064,CRS0081,2025-01-05,In Progress,,36.3
EMP00064,CRS0105,2026-06-01,Completed,4.4,4.4
EMP00064,CRS0098,2024-08-08,Completed,4.9,27.9
EMP00065,CRS0109,2024-06-17,In Progress,,14.0
EMP00065,CRS0128,2025-05-03,Completed,2.2,6.9
EMP00066,CRS0063,2025-12-24,Completed,2.8,29.0
EMP00066,CRS0084,2026-08-19,Completed,2.3,32.8
EMP00066,CRS0079,2026-02-25,Completed,4.2,6.7
EMP00067,CRS0137,2024-04-11,Completed,3.2,6.7
EMP00067,CRS0102,2026-11-18,In Progress,,20.8
EMP00067,CRS0112,2026-08-02,Completed,3.6,2.3
EMP00067,CRS0077,2026-12-16,In Progress,,38.9
EMP00067,CRS0104,2024-09-09,In Progress,,32.4
EMP00067,CRS0055,2026-03-06,Completed,2.0,26.4
EMP00068,CRS0093,2024-12-23,Completed,2.7,34.3
EMP00068,CRS0111,2024-04-19,Completed,3.4,31.9
EMP00069,CRS0075,2025-07-20,Completed,4.3,33.0
EMP00069,CRS0067,2025-03-15,In Progress,,26.8
EMP00069,CRS0011,2024-04-24,Completed,2.7,37.5
EMP00069,CRS0048,2024-04-22,Completed,3.0,7.3
EMP00069,CRS0035,2024-02-14,Completed,3.7,11.6
EMP00070,CRS0049,2024-10-19,Completed,4.9,20.8
EMP00070,CRS0059,2026-08-11,Completed,4.7,2.3
EMP00070,CRS0045,2025-05-23,In Progress,,34.8
EMP00070,CRS0133,2025-06-14,Completed,4.7,4.2
EMP00070,CRS0072,2026-04-04,Completed,3.8,4.6
EMP00070,CRS0076,2025-04-07,Completed,4.1,16.9
EMP00071,CRS0048,2025-08-07,Dropped,,20.7
EMP00071,CRS0111,2026-12-02,Completed,2.2,35.7
EMP00071,CRS0039,2025-12-16,Dropped,,17.3
EMP00072,CRS0114,2024-06-20,Completed,3.1,11.0
EMP00072,CRS0001,2024-11-10,Completed,3.9,32.3
EMP00073,CRS0010,2024-03-16,In Progress,,13.3
EMP00073,CRS0122,2025-06-17,Completed,4.0,35.0
EMP00074,CRS0110,2025-03-01,Completed,3.7,2.1
EMP00074,CRS0117,2025-04-26,In Progress,,11.3
EMP00074,CRS0108,2025-05-14,Completed,4.9,26.1
EMP00075,CRS0073,2024-02-17,Completed,3.8,26.5
EMP00075,CRS0115,2026-10-22,Dropped,,39.3
EMP00076,CRS0139,2025-06-01,Completed,3.8,25.6
EMP00076,CRS0072,2026-04-05,In Progress,,24.7
EMP00076,CRS0020,2025-05-07,In Progress,,31.5
EMP00076,CRS0066,2025-07-04,Completed,4.2,39.1
EMP00076,CRS0130,2026-09-26,Completed,2.5,22.8
EMP00077,CRS0027,2025-01-01,Completed,3.7,14.9
EMP00077,CRS0085,2025-07-24,In Progress,,8.9
EMP00078,CRS0036,2025-05-06,In Progress,,13.6
EMP00078,CRS0050,2024-06-13,In Progress,,37.3
EMP00078,CRS0136,2026-08-03,In Progress,,30.4
EMP00079,CRS0129,2025-11-18,Completed,3.6,20.4
EMP00079,CRS0135,2025-09-02,Dropped,,13.0
EMP00079,CRS0037,2026-12-09,Completed,2.2,29.8
EMP00079,CRS0033,2026-10-20,Completed,3.1,13.6
EMP00079,CRS0053,2024-11-11,Completed,4.6,12.3
EMP00079,CRS0116,2026-07-07,Completed,4.1,25.7
EMP00080,CRS0062,2026-01-19,In Progress,,3.9
EMP00080,CRS0001,2025-07-05,In Progress,,17.9
EMP00080,CRS0114,2025-12-15,Completed,3.3,15.5
EMP00080,CRS0040,2025-06-16,In Progress,,17.4
EMP00080,CRS0052,2025-06-11,In Progress,,21.9
EMP00080,CRS0102,2025-06-04,In Progress,,15.6
EMP00081,CRS0066,2025-06-17,Completed,2.0,16.7
EMP00081,CRS0121,2026-03-10,In Progress,,17.8
EMP00081,CRS0111,2025-07-12,In Progress,,15.6
EMP00082,CRS0084,2025-02-25,In Progress,,34.7
EMP00082,CRS0028,2024-03-26,Completed,3.8,37.5
EMP00082,CRS0040,2026-07-18,In Progress,,9.7
EMP00082,CRS0045,2024-06-27,Dropped,,2.6
EMP00083,CRS0011,2025-03-07,Completed,2.1,25.6
EMP00083,CRS0017,2026-06-24,Completed,3.2,8.6
EMP00083,CRS0116,2024-10-25,Completed,3.8,22.3
EMP00083,CRS0006,2024-05-22,In Progress,,30.4
EMP00083,CRS0063,2024-10-16,Completed,3.8,18.5
EMP00084,CRS0125,2026-01-10,Completed,3.1,25.2
EMP00084,CRS0035,2025-12-16,Completed,2.1,9.8
EMP00084,CRS0070,2026-06-16,Completed,3.5,39.4
EMP00084,CRS0087,2026-01-11,Completed,4.9,23.8
EMP00084,CRS0040,2024-11-14,Completed,3.9,22.8
EMP00084,CRS0069,2024-11-28,Completed,4.2,11.5
EMP00085,CRS0060,2024-06-17,Completed,3.6,39.0
EMP00085,CRS0024,2024-05-05,Completed,4.5,2.7
EMP00086,CRS0059,2025-09-14,Completed,3.3,19.5
EMP00086,CRS0025,2024-11-10,Completed,3.8,38.3
EMP00087,CRS0132,2026-09-24,In Progress,,39.8
EMP00087,CRS0109,2026-03-27,Completed,2.0,21.8
EMP00088,CRS0082,2024-03-14,Completed,2.5,26.6
EMP00088,CRS0134,2025-12-20,Completed,3.9,29.5
EMP00088,CRS0102,2025-08-10,In Progress,,8.3
EMP00088,CRS0132,2025-04-23,Dropped,,10.0
EMP00088,CRS0071,2024-11-21,Completed,3.2,34.1
EMP00088,CRS0028,2024-09-26,Dropped,,5.3
EMP00089,CRS0120,2025-06-27,Completed,2.9,7.6
EMP00089,CRS0139,2026-01-14,Completed,2.9,25.7
EMP00090,CRS0061,2025-02-15,In Progress,,10.4
EMP00090,CRS0035,2024-03-08,Completed,4.8,3.0
EMP00090,CRS0118,2026-07-11,Completed,4.5,4.2
EMP00091,CRS0139,2026-06-23,In Progress,,39.4
EMP00091,CRS0115,2025-06-11,Completed,3.9,18.9
EMP00091,CRS0015,2026-09-20,Completed,3.6,39.6
EMP00091,CRS0072,2026-04-15,In Progress,,34.0
EMP00092,CRS0017,2026-07-06,Completed,5.0,31.0
EMP00092,CRS0091,2026-09-15,Completed,3.6,21.2
EMP00092,CRS0083,2024-11-16,Completed,3.6,34.7
EMP00092,CRS0127,2026-02-06,Completed,2.5,24.6
EMP00092,CRS0015,2024-11-28,Completed,3.9,27.4
EMP00092,CRS0078,2026-02-05,Completed,2.3,35.4
EMP00093,CRS0139,2025-01-13,In Progress,,3.0
EMP00093,CRS0134,2024-02-02,Completed,4.3,38.7
EMP00093,CRS0100,2024-10-18,Completed,2.4,20.3
EMP00093,CRS0026,2024-05-23,Completed,3.7,36.0
EMP00093,CRS0131,2025-10-15,Completed,4.8,18.6
EMP00093,CRS0035,2025-01-14,Dropped,,11.2
EMP00094,CRS0084,2024-06-12,In Progress,,34.9
EMP00094,CRS0118,2025-08-08,In Progress,,2.5
EMP00094,CRS0131,2026-04-04,In Progress,,31.1
EMP00094,CRS0106,2025-08-22,Completed,3.0,3.6
EMP00094,CRS0133,2026-02-17,Dropped,,15.6
EMP00095,CRS0057,2024-02-03,Completed,3.1,21.3
EMP00095,CRS0133,2024-11-23,Completed,2.9,20.4
EMP00095,CRS0071,2026-06-28,Completed,2.5,10.6
EMP00095,CRS0072,2024-06-21,Completed,3.2,39.6
EMP00095,CRS0068,2026-10-03,In Progress,,33.1
EMP00096,CRS0113,2024-04-21,Completed,3.6,35.2
EMP00096,CRS0116,2026-05-12,Dropped,,32.6
EMP00097,CRS0132,2024-07-24,Completed,2.9,36.8
EMP00097,CRS0075,2024-02-14,In Progress,,38.2
EMP00097,CRS0068,2024-08-17,Completed,2.4,14.1
EMP00097,CRS0106,2025-10-16,In Progress,,35.0
EMP00097,CRS0122,2026-11-05,Completed,4.1,8.1
EMP00098,CRS0060,2024-06-18,In Progress,,7.2
EMP00098,CRS0027,2024-04-08,Completed,4.1,13.6
EMP00098,CRS0131,2026-06-03,Completed,2.3,34.5
EMP00098,CRS0101,2024-10-14,Completed,3.9,11.7
EMP00098,CRS0054,2025-04-10,In Progress,,2.9
EMP00099,CRS0099,2026-06-18,Completed,2.4,30.2
EMP00099,CRS0121,2025-12-20,Completed,2.2,25.8
EMP00099,CRS0066,2024-03-06,Completed,2.2,2.1
EMP00099,CRS0100,2026-02-21,Completed,4.0,17.4
EMP00100,CRS0026,2024-12-19,In Progress,,16.7
EMP00100,CRS0059,2025-05-01,Completed,3.7,28.4
EMP00100,CRS0077,2026-03-18,In Progress,,6.9
EMP00100,CRS0071,2024-01-26,Completed,4.0,39.9
EMP00101,CRS0109,2024-02-18,Completed,3.9,16.6
EMP00101,CRS0090,2025-08-04,In Progress,,17.8
EMP00101,CRS0008,2025-02-01,Completed,3.1,17.8
EMP00102,CRS0081,2024-03-05,Completed,4.4,37.0
EMP00102,CRS0101,2025-10-19,In Progress,,39.2
EMP00102,CRS0062,2026-08-14,Completed,2.2,39.6
EMP00103,CRS0057,2024-11-10,Completed,3.4,4.7
EMP00103,CRS0108,2024-10-06,Completed,3.2,12.4
EMP00103,CRS0125,2025-05-28,Completed,4.3,15.3
EMP00103,CRS0092,2024-07-27,Completed,3.1,35.5
EMP00103,CRS0005,2024-07-07,Completed,3.6,11.4
EMP00103,CRS0025,2026-11-13,Completed,3.8,30.5
EMP00104,CRS0086,2025-10-02,Completed,4.6,32.9
EMP00104,CRS0092,2026-06-01,Completed,4.8,38.8
EMP00104,CRS0041,2025-06-03,Dropped,,30.2
EMP00104,CRS0047,2025-05-22,In Progress,,39.2
EMP00104,CRS0125,2024-09-18,Completed,3.6,20.3
EMP00104,CRS0113,2024-04-03,Completed,2.0,19.8
EMP00105,CRS0093,2024-03-12,Completed,3.4,24.0
EMP00105,CRS0071,2025-09-17,Completed,2.8,31.7
EMP00105,CRS0097,2024-12-01,Completed,4.5,10.1
EMP00105,CRS0022,2025-08-21,Completed,3.7,12.8
EMP00106,CRS0109,2026-01-02,In Progress,,32.6
EMP00106,CRS0025,2024-02-10,Completed,4.1,20.3
EMP00106,CRS0132,2024-05-08,Completed,2.3,5.5
EMP00106,CRS0050,2024-01-16,Completed,3.6,8.5
EMP00106,CRS0014,2025-02-02,In Progress,,4.9
EMP00107,CRS0104,2026-09-21,Completed,3.4,4.0
EMP00107,CRS0135,2025-10-22,In Progress,,7.4
EMP00107,CRS0082,2025-05-06,Completed,4.8,29.4
EMP00107,CRS0109,2025-01-02,In Progress,,9.5
EMP00107,CRS0078,2025-06-21,Completed,2.2,38.4
EMP00107,CRS0033,2026-01-22,In Progress,,14.7
EMP00108,CRS0036,2025-08-02,Completed,4.4,3.0
EMP00108,CRS0044,2026-10-05,Completed,2.2,14.2
EMP00108,CRS0074,2024-04-28,Completed,4.9,17.3
EMP00108,CRS0025,2024-03-09,In Progress,,7.3
EMP00109,CRS0009,2026-03-02,Completed,4.9,7.0
EMP00109,CRS0082,2026-12-20,Completed,2.4,3.0
EMP00110,CRS0020,2025-04-08,In Progress,,11.7
EMP00110,CRS0030,2025-03-17,Completed,2.6,26.4
EMP00111,CRS0030,2025-03-07,Completed,4.6,27.8
EMP00111,CRS0055,2025-10-15,Completed,3.5,13.3
EMP00111,CRS0041,2026-07-14,Completed,2.0,12.0
EMP00111,CRS0063,2026-06-08,Completed,2.5,4.1
EMP00111,CRS0066,2026-04-09,Completed,3.4,27.5
EMP00112,CRS0093,2026-03-13,In Progress,,5.5
EMP00112,CRS0046,2025-10-28,Dropped,,17.4
EMP00112,CRS0121,2024-06-26,Completed,3.5,36.1
EMP00112,CRS0060,2025-07-10,Completed,3.9,4.3
EMP00112,CRS0092,2024-04-13,Completed,3.4,39.7
EMP00112,CRS0104,2024-05-15,In Progress,,28.5
EMP00113,CRS0101,2026-07-05,Completed,3.7,28.6
EMP00113,CRS0112,2026-09-11,In Progress,,35.5
EMP00113,CRS0082,2024-12-25,In Progress,,7.9
EMP00113,CRS0060,2026-03-10,Dropped,,20.8
EMP00114,CRS0087,2026-07-07,Completed,3.9,34.8
EMP00114,CRS0122,2024-06-09,In Progress,,22.8
EMP00115,CRS0074,2024-07-26,Completed,3.3,27.4
EMP00115,CRS0106,2026-08-19,Completed,4.2,7.6
EMP00115,CRS0085,2026-11-03,Completed,3.8,30.6
EMP00116,CRS0025,2024-12-15,Completed,4.7,21.6
EMP00116,CRS0091,2024-08-05,Completed,2.7,20.9
EMP00116,CRS0058,2024-02-09,Completed,3.4,8.3
EMP00116,CRS0129,2026-12-01,Completed,3.3,20.3
EMP00116,CRS0022,2026-04-04,Completed,2.4,29.8
EMP00117,CRS0032,2025-08-13,In Progress,,24.5
EMP00117,CRS0074,2026-10-27,Completed,3.9,33.9
EMP00117,CRS0102,2025-07-07,Completed,3.2,28.7
EMP00118,CRS0028,2026-11-10,In Progress,,24.2
EMP00118,CRS0118,2026-11-03,Completed,3.2,23.8
EMP00118,CRS0036,2026-07-23,Dropped,,6.2
EMP00119,CRS0075,2026-09-08,Dropped,,3.0
EMP00119,CRS0118,2024-07-04,Completed,2.7,6.2
EMP00119,CRS0023,2024-07-25,Completed,4.4,23.7
EMP00119,CRS0105,2025-12-19,In Progress,,23.6
EMP00119,CRS0116,2024-05-09,Completed,4.3,9.4
EMP00120,CRS0122,2026-05-18,In Progress,,9.8
EMP00120,CRS0108,2026-09-26,In Progress,,12.7
EMP00120,CRS0124,2024-02-28,In Progress,,5.4
